node_num,State,Lat,Lon,Offshore_wind_allowed,ISONE_zone
0.0,MA,42.642711,70.865107,1.0,MA
1.0,MA,42.479477,71.396507,1.0,MA
2.0,MA,42.33196,71.020173,1.0,MA
3.0,MA,42.169703,71.179875,1.0,MA
4.0,MA,41.748576,71.087062,1.0,MA
5.0,MA,41.987196,70.741942,1.0,MA
6.0,MA,41.798819,70.211083,1.0,MA
7.0,MA,41.380939,70.701536,1.0,MA
8.0,MA,41.305878,70.14191,1.0,MA
9.0,MA,42.311693,71.940282,0.0,MA
10.0,MA,42.136198,72.635648,0.0,MA
11.0,MA,42.339459,72.663694,0.0,MA
12.0,MA,42.583791,72.591655,0.0,MA
13.0,MA,42.375314,73.213948,0.0,MA
14.0,ME,46.727057,68.64941,0.0,ME
15.0,ME,44.967009,67.609354,0.0,ME
16.0,ME,45.390602,68.657487,0.0,ME
17.0,ME,45.917678,69.104548,0.0,ME
18.0,ME,44.564906,68.370703,0.0,ME
19.0,ME,45.507482,69.97604,0.0,ME
20.0,ME,44.505361,69.139678,0.0,ME
21.0,ME,44.973012,70.444727,0.0,ME
22.0,ME,44.042045,69.038515,0.0,ME
23.0,ME,43.994265,69.514029,0.0,ME
24.0,ME,44.417012,69.765764,0.0,ME
25.0,ME,44.494585,70.734688,0.0,ME
26.0,ME,44.167681,70.207435,0.0,ME
27.0,ME,43.916694,69.843994,0.0,ME
28.0,ME,43.808348,70.330375,0.0,ME
29.0,ME,43.427239,70.670402,0.0,ME
30.0,VT,44.031248,73.141581,0.0,VT
31.0,VT,43.035325,73.11146,0.0,VT
32.0,VT,44.468791,72.112168,0.0,VT
33.0,VT,44.460676,73.070525,0.0,VT
34.0,VT,44.724021,71.732736,0.0,VT
35.0,VT,44.858964,72.909402,0.0,VT
36.0,VT,44.801788,73.300758,0.0,VT
37.0,VT,44.603504,72.638356,0.0,VT
38.0,VT,44.003392,72.369687,0.0,VT
39.0,VT,44.828442,72.25163,0.0,VT
40.0,VT,43.580844,73.038196,0.0,VT
41.0,VT,44.274953,72.609475,0.0,VT
42.0,VT,42.999143,72.716335,0.0,VT
43.0,VT,43.588143,72.591515,0.0,VT
44.0,NH,42.911643,71.723101,0.0,NH
45.0,NH,42.98936,71.099437,0.0,NH
46.0,NH,43.519109,71.425366,0.0,NH
47.0,NH,43.867567,71.201665,0.0,NH
48.0,NH,42.925455,72.248217,0.0,NH
49.0,NH,44.652419,71.289383,0.0,NH
50.0,NH,43.926488,71.842264,0.0,NH
51.0,NH,43.299485,71.68013,0.0,NH
52.0,NH,43.293177,71.035927,0.0,NH
53.0,NH,43.361188,72.222084,0.0,NH
54.0,RI,41.705271,71.285053,1.0,RI
55.0,RI,41.67775,71.576314,1.0,RI
56.0,RI,41.502732,71.284063,1.0,RI
57.0,RI,41.870488,71.578242,1.0,RI
58.0,RI,41.401162,71.617612,1.0,RI
59.0,CT,41.228103,73.366757,0.0,CT
60.0,CT,41.349717,72.900204,0.0,CT
61.0,CT,41.791897,73.235428,0.0,CT
62.0,CT,41.806053,72.732916,0.0,CT
63.0,CT,41.434525,72.524227,0.0,CT
64.0,CT,41.858076,72.340977,0.0,CT
65.0,CT,41.47863,72.103452,0.0,CT
66.0,CT,41.824999,71.990702,0.0,CT
